,방송시간,프로그램 정보
0,05:00,한국기행
1,05:20,세계테마기행
2,06:00,부모-위대한 엄마 열전
3,06:30,Choo! Choo! ABC
4,06:40,페파피그(2)
5,07:00,바다나무
6,07:30,베이비 버스(시즌2)
7,08:00,토닥토닥 꼬모
8,08:30,딩동댕 유치원
9,09:00,로보카 폴리
10,09:55,이얍! 스페이스 정글
11,10:00,꼬마버스 타요
12,10:55,뽀로로와 노래해요 1
13,11:00,바오밥섬의 파오파오
14,11:55,이얍! 스페이스 정글(재)
15,12:00,한글이 야호2
16,12:15,한글용사아이야
17,12:30,Choo! Choo! ABC(재)
18,12:40,페파피그(2)(재)
19,13:00,바다나무(재)
20,13:30,딩동댕 유치원(재)
21,14:00,최고다! 호기심 딱지
22,14:15,뭐든지 뮤직박스
23,14:30,쉿! 내 친구는 빅파이브
24,14:45,봉구야 말해줘2
25,15:00,토몬카(전주재방)
26,15:10,우리집 유치원(시즌5)
27,15:40,뽀로로와 노래해요 1(재)
28,15:45,최고다! 호기심 딱지(재)
29,16:00,엉뚱남매 공작소
30,16:15,다이노파워즈(전주재방)
31,16:30,시간을달리는세계사
32,17:00,자이언트 펭TV(전주재방)
33,17:15,자이언트 펭TV
34,17:30,뽀로로 동화나라
35,18:00,엄마 까투리2
36,18:55,뽀로로와 노래해요 1(삼)
37,19:00,토몬카
38,19:10,미술탐험대
39,20:00,한글용사아이야(재)
40,20:15,뭐든지 뮤직박스(재)
41,20:30,토닥토닥 꼬모(재)
42,21:00,시티어드벤처(시즌4)
43,21:55,이얍! 스페이스 정글(삼)
44,22:00,두다다쿵(1)
45,22:55,뽀로로와 노래해요 1(사)
46,23:00,시간을달리는세계사(재)
47,23:30,자이언트 펭TV(전주재방)(재)
48,23:45,자이언트 펭TV(재)
49,24:00,아주 각별한 기행(전주재방)
50,24:15,아주 각별한 기행
51,24:30,클래스 e (1)
52,25:00,최고의 요리비결
53,25:30,한국기행(재)
54,25:50,세계테마기행(재)
55,26:30,부모-위대한 엄마 열전(재)
