,방송시간,프로그램 정보
0,06:00,반짝이는 프리채널 시즌2 - 48화 주얼 컬렉션! 꿈을 향한 마지막 무대!
1,06:30,반짝이는 프리채널 시즌2 - 49화 우리들의 진심을 전해줘! 마음을 잇는 다이아몬드 코디!
2,07:00,슈퍼텐 전설의 슈퍼리온 - 39화 스카이윙과 테라이언
3,07:15,슈퍼텐 전설의 슈퍼리온 - 40화 돌아온 테라이언
4,07:30,[극장판]안녕 자두야 - 극장판 안녕 자두야
5,09:00,NEW 도리수니월드 PART1 - 1화 도리가 몇 명일까요?
6,09:15,NEW 도리수니월드 PART1 - 2화 맛있는 빵을 만들어요!! 제빵사
7,09:30,NEW 도리수니월드 PART1 - 3화 땅따먹기 1등이 됐어요!!
8,09:45,NEW 도리수니월드 PART1 - 4화 아기들이 사라졌어요
9,10:00,"신 도라에몽 스페셜 3기 - 8화 바다 대모험, 캡틴 실버의 보물 외"
10,11:00,브레드 이발소3 - 3화 초콜릿 장벽
11,11:15,브레드 이발소3 - 4화 암산왕 초코
12,11:30,브레드 이발소3 - 5화 내 머리를 부탁해
13,11:45,브레드 이발소3 - 6화 요가의 달인
14,12:00,블록나라의 알로스 - 5화 선생님들이 이상해요!
15,12:15,블록나라의 알로스 - 6화 놀이동산에 가요!
16,12:30,블록나라의 알로스 - 7화 밍이 뱀이 됐어요!
17,12:45,블록나라의 알로스 - 8화 케이크를 만들어요!
18,13:00,"신 도라에몽 스페셜 2기 - 1화 달려라 도라에몽, 은하 그랑프리/30억 복권 소동!"
19,14:00,소스리아 - 5화 달콤 살벌 콘테스트
20,14:15,소스리아 - 6화 비밀 재료의 숲
21,14:30,소스리아 - 7화 반짝반짝 눈꽃 빙수산을 구해줘!
22,14:45,소스리아 - 8화 당근이세요?
23,15:00,방울이TV - 7화 딸랑예술학교 수업시간에 선생님 몰래 딴짓하기 외
24,15:30,방울이TV - 8화 치과 갈 때 연령대별 공감 외
25,16:00,도리수니TV PART6 - 1화 방귀 경찰을 피해 감옥에서 탈출해요
26,16:15,도리수니TV PART6 - 2화 귀여운 강아지가 생겼어요!!
27,16:30,도리수니TV PART6 - 4화 잠꾸러기 선생님 몰래 학교를 탈출해요
28,16:45,도리수니TV PART6 - 6화 엄마 생쥐를 만났어요!! 치즈를 찾아요!!
29,ON17:00,신 도라에몽 20기 - 9화 꽃놀이를 가고 싶어/시간은 흘러만 간다
30,17:30,신 도라에몽 20기 - 10화 헤엄치며 보물찾기/플러스 식초 마이너스 식초
31,18:00,신 도라에몽 13 - 10화 모아모아 개미/립스틱을 바르자
32,18:30,신 도라에몽 13 - 12화 겨울에는 설녀가 되자!/비밀기지에서 세계를 구하자
33,19:00,신 도라에몽 13 - 13화 사차원 사이클링/발렌타인데이에는 떡을 만들자
34,19:30,신 도라에몽 13 - 14화 공룡헌터
35,20:00,신 도라에몽 5 - 21화 동생을 만들자/악인의 길을 가자
36,20:30,신 도라에몽 5 - 22화 도라미 최악의 날/세상에서 가장 맛있는 멜론 빵
37,21:00,겜브링TV 파이널 어드벤처 - 3화 해외에서 난리난 100층 탈출 외
38,21:30,겜브링TV 파이널 어드벤처 - 4화 장난감 미니카가 게임 안으로 외
39,22:00,소년탐정 김전일 ORIGINAL - 소년탐정 김전일 ORIGINAL_37화 유키야샤 전설 살인사건 FILE 1
40,22:30,소년탐정 김전일 ORIGINAL - 소년탐정 김전일 ORIGINAL_38화 유키야샤 전설 살인사건 FILE 2
41,23:00,소년탐정 김전일 ORIGINAL - 소년탐정 김전일 ORIGINAL_39화 유키야샤 전설 살인사건 FILE 3
42,23:30,소년탐정 김전일 ORIGINAL - 소년탐정 김전일 ORIGINAL_40화 타로 산장 살인사건 FILE 1
43,00:00,소년탐정 김전일 ORIGINAL - 소년탐정 김전일 ORIGINAL_41화 타로 산장 살인사건 FILE 2
44,00:30,소년탐정 김전일 ORIGINAL - 소년탐정 김전일 ORIGINAL_42화 타로 산장 살인사건 FILE 3
45,01:00,시노스톤 프라임 - 21화 구동존이-같은 점은 함께하고 다른 점은 남겨두자!
46,01:30,시노스톤 프라임 - 22화 레오박사가 이상해!
47,02:00,시노스톤 프라임 - 23화 블랙 시노스톤을 조심해!
48,02:30,시노스톤 프라임 - 24화 레오박사를 구하라!
49,03:00,시노스톤 프라임 - 25화 어둠의 힘에 맞서 싸워라!
50,03:30,시노스톤 프라임 - 26화 세상의 평화는 우리가 지킨다!
51,04:00,레고 닌자고 드래곤 헌터 - 1화 저항의 시작
52,04:30,레고 닌자고 드래곤 헌터 - 2화 아이언과 헌터들
53,05:00,레고 닌자고 드래곤 헌터 - 3화 울려 퍼지는 자유의 소리
54,05:30,레고 닌자고 드래곤 헌터 - 4화 드래곤을 만드는 방법
