,방송시간,프로그램 정보,등급
0,00:00,해리&버니 : 67~72화 | PENNY THE NANNY,전체
1,01:00,척치킨 : 29~32화 | 마지막 병사,7세이상
2,02:00,The storyhouse ASMR - Jekyll and Hyde(HD) : 5~8화 |,전체
3,03:00,Vocabulary in Story - Peter Pan : 5~8화 |,전체
4,04:00,VOA Step English (HD) : 2983~2984화 |,전체
5,05:00,주니토니 : 76~77화 |,전체
6,06:00,미라큘러스3: 레이디버그와 블랙캣 (영어) : 25~26화 | Heart Hunter(The battle of the Miraculous - part 1),7세이상
7,07:00,헬로카봇 시즌12 붐바 NEW에피소드 : 3~4화 | 꼴지의 제왕 울랄라,7세이상
8,07:30,브레드 이발소2 : 21~24화 | 공주와 치즈,전체
9,08:30,반짝반짝 달님이 시즌2 : 9~10화 | 아기공룡 핑크2,전체
10,09:00,"바다탐험대 옥토넛 시즌2 : 15,24화 | [스페셜] 아마존 대탐험",전체
11,10:00,"폼폼플레이2 : 21,22,17,18화 |",전체
12,11:00,상상꾸러기 꾸다 : 4~9화 | 가장 맛있는 귤,전체
13,12:00,쫑알쫑알 똘똘이 시즌5 : 1~4화 | 엄마를 도와요,전체
14,13:00,"포켓몬스터W Part7 : 3~4화 | 아이리스, 드래곤마스터로 가는 길! VS 난천!!",7세이상
15,14:00,슈퍼패밀리 인싸레인저 : 5~6화 | 나 다운게 뭔데?,12세이상
16,15:00,"잠뜰TV 유니버스 Part1 : 1,8,11화 | 내 옆집에 사는 그 녀석들이 돌아왔다!",12세이상
17,16:30,또봇V 우주수호대 : 19~20화 | 게임 속으로,7세이상
18,17:00,ON AIR메카드볼 메가 : 11~12화 | 두 번째 재난,전체
19,17:30,엉덩이 탐정 시즌4 : 5화 |,전체
20,18:00,알쏭달쏭 캐치! 티니핑 : 20~23화 | 노래하는 아아~핑,7세이상
21,19:00,요괴워치 음표 Part1 : 11~12화 |,12세이상
22,20:00,"말량&홍챠TV : 5~6화 | [배드워즈] 나에게 잘 맞는 키트 장단점, 마법을 지배하는 사나이",12세이상
23,21:00,"쉐어TV 넥스트레벨 : 22,25화 | 32개 직업이 랜덤으로 부여되면 생기는일 랜덤모드 1탄, 2탄, 3탄",15세이상
24,22:00,"고스트 게임:디지몬 : 12,41화 | 행운의 편지",12세이상
25,23:00,드로너즈 : 5~6화 | 아라크노 레이스,7세이상
