,방송시간,프로그램 정보
0,00:00,쥬라기캅스 시즌3 5-8
1,01:00,조조좀비 5-8
2,02:00,바이트 초이카 9-10
3,03:00,헬로카봇 시즌3 17-20
4,04:00,바이트 초이카 하이퍼 11-12
5,05:00,시티 어드벤처 시즌4 7-10
6,06:00,슈퍼텐 시간탐험대 49-52
7,07:00,슈퍼다이노 28-31
8,08:00,"헬로카봇 시즌10 1,4"
9,08:30,매지컬 파티 34
10,09:00,에그박사 309-310
11,10:00,브레드와 윌크의 세계여행 8-9
12,10:30,이상한 과자가게 전천당 33-38
13,11:30,"꾹TV 101,407,229"
14,13:00,마음의 소리 125-126
15,14:00,오마이비키 15-16
16,15:00,이상한 과자가게 전천당 13-18
17,16:00,라바 시즌2 12-13
18,16:30,"브레드와 윌크의 세계여행 12,9-11"
19,17:30,헬로카봇 시즌12 27-28
20,18:00,브레드 이발소 19-21
21,18:30,"이상한 과자가게 전천당 43-44,39-42"
22,19:30,"꾹TV 419,106,305"
23,21:00,이상한 과자가게 전천당 39-44
24,22:00,브레드 이발소 시즌2 23-26
25,23:00,티티체리 21-24
26,24:00,쥬라기캅스 시즌3 9-12
27,25:00,조조좀비 9-12
