,방송시간,프로그램 정보,등급
0,07:00,"퍼피구조대3
22화: 퍼피 구조대와 환상의 공연",ALL
1,,"퍼피구조대3
23-1화: 부서진 행글라이더를 찾아라",ALL
2,,"퍼피구조대3
23-2화: 퍼피 구조대와 비행기",ALL
3,08:00,"도티TV
8화-1: 좀비 방송국에서 살아남기",12
4,,"도티TV
8화-2: 좀비 동물원에서 살아남기",12
5,,"도티TV
9화-1: 뽀로 납치사건",12
6,,"도티TV
9화-2: 경기장 살인사건",12
7,09:00,"안녕자두야5
3화:마지막 잎새",ALL
8,,"안녕자두야5
2화:스케이트 소동",ALL
9,,"안녕자두야5
1화:연싸움",ALL
10,,"안녕자두야4:자두와친구들
제14-1화: 다이어트가 필요해",ALL
11,10:00,"명탐정코난20
13화: 괴도 키드 VS 공명, 표적이 된 입술 (전편)",15
12,,"명탐정코난20
14화: 괴도 키드 VS 공명, 표적이 된 입술 (후편)",15
13,11:00,"명탐정코난20
15화: 두 가지 얼굴 (전편)",15
14,,"명탐정코난20
16화: 두 가지 얼굴 (후편)",15
15,12:00,"명탐정코난20
20화: 비극의 톱니바퀴 (전편)",15
16,,"명탐정코난20
21화: 비극의 톱니바퀴 (후편)",15
17,13:00,"백앤아 Part4
제7화: 불끄기 대작전",12
18,,"백앤아 Part4
제8화: 세상에서 가장 빠른 썰매",12
19,,"백앤아 Part4
제9화: 절대 탈옥할 수 없는 감옥",12
20,14:00,"짱구는못말려22
제13-1화: 협박장의 비밀",12
21,,"짱구는못말려22
제13-2화: 패스워드를 입력해요",12
22,,"짱구는못말려22
제14-1화: 딱 보면 알아요",12
23,,"짱구는못말려22
제14-2화: 찌찌뽕 친구가 되고 싶어요",12
24,,"짱구는못말려22
제14-3화: 미니 양념을 정리해요",12
25,15:00,"다이노파워즈
제7화:위험한 공사장",7
26,,"다이노파워즈
제8화:우울해지는 노랫소리",7
27,15:30,"매지컬 파티
제45화: 위험한 스크래치! 스크래치의 한계를 뛰어넘어라!",7
28,16:00,"안녕자두야3
제9-1화:엄마말씀을들으면자다가도떡이생긴다",ALL
29,,"안녕자두야3
제9-2화:나도걸스카우트",ALL
30,,"안녕자두야3
제10-1화:인기투표",ALL
31,,"안녕자두야3
제10-2화:엄마는쉐프",ALL
32,17:00,"ON AIR
코아TV
제15-1화: 감옥에서 탈출",12
33,,"코아TV
제15-2화: 영역전쟁",12
34,,"코아TV
제16-1화: 버튼을 화나게 하지마",12
35,,"코아TV
제16-2화: 말하는 강아지 벤 피하기",12
36,18:00,"흔한남매와 안 흔한 친구들2
제9-1화: 이해하면 무서운 이야기 세번째...",12
37,,"흔한남매와 안 흔한 친구들2
제9-2화: 우당탕탕 모기소리로 으뜸이 깨우기",12
38,,"흔한남매와 안 흔한 친구들2
제10화: 치과 무섭지 않게 가는 방법이 있다? 치과 안무섭게 가는 꿀팁!",12
39,,"흔한남매와 안 흔한 친구들2
제11-1화: 노래방에 갇혔다! 그리고 시작된 공포의 안내 방송…",12
40,19:00,"포켓몬스터W
129화: 파이널 Ⅲ 『최강』",7
41,,"포켓몬스터W
130화: 파이널 Ⅳ 『파트너』",7
42,20:00,"이상한 과자가게 전천당2
5화: 찍히지 않는 스티커",12
43,,"이상한 과자가게 전천당2
6화: 위대한 오징어",12
44,20:20,"이상한 과자가게 전천당2
3화: 어깨 위 지장 팥빵 (전편)",12
45,,"이상한 과자가게 전천당2
4화: 어깨 위 지장 팥빵 (후편)",12
46,,"이상한 과자가게 전천당2
1화: 홍자, 여행을 떠나다",12
47,,"이상한 과자가게 전천당2
2화: 멀미방지 양갱",12
48,21:00,"네모바지 스폰지밥10
3-1화: 나 따라 해봐",7
49,,"네모바지 스폰지밥10
3-2화: 벌레 파티",7
50,,"네모바지 스폰지밥10
4-1화: 잠자면 안 돼!",7
51,,"네모바지 스폰지밥10
4-2화: 출장 요리 대소동",7
52,22:00,"짱구는못말려22
제16-1화: 우리가 양말이 됐어요",12
53,,"짱구는못말려22
제16-2화: 단체줄넘기 대결을 해요",12
54,,"짱구는못말려22
제16-3화: 순위가 왔다 갔다 해요",12
55,,"짱구는못말려22
제17-1화: 토끼인형을 빨아요",12
56,,"짱구는못말려22
제17-2화: 배달 아르바이트를 해요",12
57,,"짱구는못말려22
제17-3화: 무인식당에서 밥을 먹어요",12
58,,"짱구는못말려22
제18-1화: 떡잎마을 속의 외국을 찾아요",12
59,,"짱구는못말려22
제18-2화: 유명한 작가에게 물건을 팔아요",12
60,,"짱구는못말려22
제18-3화: 간식을 먹기 위해 엄마를 도와요",12
61,23:00,"명탐정코난(자막)
제29화: 아카오니 마을 불 축제 살인 사건",15
62,,"명탐정코난(자막)
제30화: 우승기 난도질 사건",15
63,00:00,"나만이 없는 거리
제5화:도주",15
64,,"나만이 없는 거리
제6화:사신",15
65,01:00,"100%울프 : 문스톤의 전설
25화: 크럼벡 산",7
66,,"100%울프 : 문스톤의 전설
26화: 붉은 달",7
67,02:00,"퍼피구조대4
25-1화:아기가 된 험딩어 시장님",ALL
68,,"퍼피구조대4
25-2화:알렉스의 종이 박 파티",ALL
69,,"퍼피구조대4
26화:해상 구조대, 마법의 진주 조개",ALL
70,03:00,"도깨비언덕에 왜 왔니?
11화: 무간의 협곡으로!",12
71,,"도깨비언덕에 왜 왔니?
12화: 피노킹과 제페타!",12
72,,"도깨비언덕에 왜 왔니?
13화: 모스퀴또리의 역습!",12
73,,"도깨비언덕에 왜 왔니?
14화: 생명의 열매",12
74,,"도깨비언덕에 왜 왔니?
15화: 늑대 왕국",12
75,04:00,"토마스와 친구들: 함께 달리자!
11화: 모두가 친구",ALL
76,,"토마스와 친구들: 함께 달리자!
12화: 얼룩소 운송",ALL
77,,"토마스와 친구들: 함께 달리자!
13화: 공연은 계속돼야 한다",ALL
